objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Tiny Epic Galaxies","163967","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","82880502","7.13943","7.35155","2.1586","297","33813","thing","Tiny Epic Galaxies","1","5","45","45","30","2015","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Torres","88","0","","0","1","0","0","0","0","0","0","0","3","","","","","","7668794","6.80093","7.10039","2.8621","630","13254","thing","Torres","2","4","60","60","60","1999","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"TransAmerica","2842","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","7668343","6.4358","6.67723","1.3477","1255","7929","thing","TransAmerica","2","6","30","30","30","2001","3,4,5,6","4,5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Trash Pandas","216439","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","61479667","6.02649","6.59328","1.425","2551","5792","thing","Trash Pandas","2","4","20","20","15","2017","2,3,4","3,4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Very Clever Pipe Game","279","0","","0","1","0","0","0","0","0","0","0","3","","","","","","194882","5.71203","6.22553","1.5802","5121","1387","thing","The Very Clever Pipe Game","2","4","20","20","20","1996","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Vom Kap bis Kairo","2555","0","","0","1","1","0","0","0","0","0","0","3","","","","","","7668401","5.74649","6.27674","1.8","4637","1532","thing","Vom Kap bis Kairo","2","4","30","30","30","2001","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Web of Power","491","0","","0","1","0","0","0","0","0","0","0","3","","","","","","7668417","6.64379","7.30332","2.4444","888","3356","thing","Web of Power","3","5","60","60","50","2000","3,4,5","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Wizard Kittens","273336","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","74210518","5.543","6.27302","1.4","11721","824","thing","Wizard Kittens","2","4","30","30","15","2020","3,4","3","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Wyatt Earp","878","0","","0","1","0","0","0","0","0","0","0","3","","","","","","194884","6.3958","6.83156","1.841","1338","5593","thing","Wyatt Earp","2","4","45","45","30","2001","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"YINSH","7854","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","7668356","7.28943","7.70396","2.6712","205","10867","thing","YINSH","2","2","60","60","30","2003","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"ZÈRTZ","528","0","","0","1","0","0","0","0","0","0","0","3","","","","","","194885","6.69863","7.2692","2.7463","789","6085","thing","ZÈRTZ","2","2","60","60","30","1999","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
