objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Chez Geek","553","6","","0","1","0","0","0","0","0","0","0","3","","","","","","204553","5.58153","5.71104","1.4183","8699","7865","thing","Chez Geek","2","5","60","60","60","1999","3,4,5","4,5","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Chrononauts","815","7","","0","1","0","0","0","0","0","0","0","3","","","","","","204554","5.96535","6.19194","1.8487","2868","9623","thing","Chrononauts","1","6","30","30","30","2000","1,2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Codenames","178900","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","55715148","7.4807","7.57272","1.273","116","132574","thing","Codenames","2","8","15","15","15","2015","4,5,6,7,8","6,8","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Condottiere","112","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","67620958","6.61518","6.86464","1.9567","931","12431","thing","Condottiere","2","6","45","45","45","1995","3,4,5,6","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cosmic Coasters","1771","6","","0","1","0","0","0","0","0","0","0","3","","","","","","204555","5.46585","5.21568","1.2222","22612","537","thing","Cosmic Coasters","2","4","10","10","10","2001","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cosmic Wimpout","1302","5","","0","1","1","0","0","0","0","0","0","3","","","","","","204556","5.64645","5.99664","1.2243","6318","1631","thing","Cosmic Wimpout","2","7","20","20","20","1975","2,3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cranium","891","0","","0","1","0","0","0","0","0","0","0","3","","","","","","7668359","5.57764","5.68432","1.4242","8942","17685","thing","Cranium","4","16","60","60","60","1998","4,6,7,8,9,10,11,12,14,16","8","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Crokinole","521","10","","0","1","0","0","0","0","0","0","0","3","","Who doesn't love Crokinole?","","","","204557","7.71073","7.98148","1.2414","54","13879","thing","Crokinole","2","4","30","30","30","1876","2,4","2,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dog Lover","344839","0","","0","1","0","0","0","0","0","0","0","3","","","","","","91422795","5.75008","6.95684","1.8571","4588","1074","thing","Dog Lover","2","4","30","30","30","2021","2,3","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"DruidenWalzer","376","4","","0","1","1","0","0","0","0","0","0","3","","","Like new","","","397125","5.60868","5.88051","2.3875","7446","1382","thing","DruidenWalzer","2","2","45","45","45","1999","2","2","12","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"DVONN","2346","0","","0","1","0","0","0","0","0","0","0","3","","","","","","7668351","6.88833","7.45147","2.6632","548","6677","thing","DVONN","2","2","30","30","30","2001","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Eclipse","72125","0","","0","1","0","0","0","0","0","0","0","3","","","","","","55715142","7.65501","7.85539","3.7024","68","27403","thing","Eclipse","2","6","180","180","60","2011","2,3,4,5,6","4,6","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Elfenland","10","0","","0","1","0","0","0","0","0","0","0","3","","","","","","194848","6.46095","6.68957","2.1577","1208","10578","thing","Elfenland","2","6","60","60","60","1998","3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Fluxx","258","0","","0","1","0","0","0","0","0","0","0","3","","","","","","194850","5.56405","5.67185","1.3895","9785","29127","thing","Fluxx","2","6","30","30","5","1997","2,3,4,5,6","4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Formula Dé","173","0","","0","1","1","0","0","0","0","0","0","3","","","","","","194851","6.66342","6.99394","1.9577","846","8193","thing","Formula Dé","2","10","120","120","120","1997","3,4,5,6,7,8,9,10","5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Fort","296912","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","78534734","6.82326","7.19803","2.4098","609","14503","thing","Fort","2","4","40","40","20","2020","2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Fox in the Forest","221965","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","63979009","6.92988","7.15242","1.5768","496","26753","thing","The Fox in the Forest","2","2","30","30","30","2017","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Frank's Zoo","340","0","","0","1","0","0","0","0","0","0","0","3","","","","","","194852","6.22039","6.6123","1.5421","1805","5344","thing","Frank's Zoo","3","7","60","60","60","1999","4,5,6,7","4,5,6","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Freight Train","1448","0","","0","1","0","0","0","0","0","0","0","3","","","","","","194853","5.70516","6.39968","2.0345","5225","1021","thing","Freight Train","2","5","90","90","90","1993","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Gigamons","170969","0","1","0","0","0","0","0","0","0","0","0","3","","","","","","81034490","5.62303","6.54712","1","6965","496","thing","Gigamons","2","4","15","15","15","2014","2,3,4","2,3","4–12","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"GIPF","527","0","","0","1","0","0","0","0","0","0","0","3","","","","","","7668352","6.49059","7.09339","2.7748","1149","5163","thing","GIPF","2","2","60","60","30","1996","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"GIPF Project Set 1","5202","0","","0","1","0","0","0","0","0","0","0","3","","","","","","7668354","5.58331","6.92288","3.1875","0","708","thing","GIPF Project Set 1","2","2","120","120","120","1999","2","2","","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"GIPF Project Set 2","5117","0","","0","1","0","0","0","0","0","0","0","3","","","","","","7668355","5.60847","7.20564","3.3529","0","858","thing","GIPF Project Set 2","2","2","120","120","120","2001","2","2","","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"The Great Dalmuti","929","0","","0","1","1","0","0","0","0","0","0","3","","","","","","7668397","6.31139","6.57668","1.2918","1542","12913","thing","The Great Dalmuti","4","8","60","60","60","1995","5,6,7,8","6,7","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Groo: The Game","194","0","","0","1","0","0","0","0","0","0","0","3","","","","","","194855","5.72837","6.29477","1.5","4887","1160","thing","Groo: The Game","2","4","45","45","45","1997","2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Guillotine","116","0","","0","1","1","0","0","0","0","0","0","3","","","","","","194856","6.39934","6.53418","1.2669","1328","30389","thing","Guillotine","2","5","30","30","30","1998","2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Hera and Zeus","638","0","","0","1","0","0","0","0","0","0","0","3","","","","","","194857","6.11816","6.48393","2.0453","2183","5314","thing","Hera and Zeus","2","2","30","30","30","2000","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hive","2655","8","1","0","1","0","0","0","0","0","0","0","3","","Very quick.  Gets a lot of notice by strangers when played in public.  ","","","","433836","7.18258","7.31923","2.3221","269","45932","thing","Hive","2","2","20","20","20","2000","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hive: The Mosquito","30323","0","","0","1","0","0","0","0","0","0","0","3","","Still not clear how much this Mosquitos add to the game.","","","","7668390","6.77388","7.55655","2.2583","0","9605","thing","Hive: The Mosquito","2","2","20","20","20","2007","2","2","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Illuminati: New World Order","1552","0","","0","1","0","0","0","0","0","0","0","3","","","","","","194859","5.8275","6.38314","2.89","3799","2544","thing","Illuminati: New World Order","2","6","120","120","120","1994","2,3,4,5,6","4,5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Imhotep: The Duel","255674","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","73925580","6.40766","7.10284","1.9608","1310","5357","thing","Imhotep: The Duel","2","2","30","30","30","2018","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Incan Gold","15512","0","","0","1","0","0","0","0","0","0","0","3","","","","","","7668349","6.69284","6.82523","1.1115","799","24328","thing","Incan Gold","3","8","30","30","30","2005","4,5,6,7,8","6,7,8","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ingenious","9674","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","7668332","6.92566","7.10917","1.9117","502","20435","thing","Ingenious","1","4","45","45","30","2004","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Isle of Skye: From Chieftain to King","176494","0","","0","1","0","0","0","0","0","0","0","3","","","","","","58613728","7.24841","7.40759","2.2485","235","30890","thing","Isle of Skye: From Chieftain to King","2","5","50","50","30","2015","2,3,4,5","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Jump Drive","205597","0","12","0","1","0","0","0","0","0","0","0","3","","","","","","57646944","6.51675","6.98479","2.0297","1097","5953","thing","Jump Drive","2","4","30","30","10","2017","1,2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Kardinal","585","7","","0","1","0","0","0","0","0","0","0","3","","","","","","194860","5.56997","6.55802","2.1818","9385","228","thing","Kardinal","2","4","20","20","20","2000","2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Kill Doctor Lucky","257","4","","0","1","0","0","0","0","0","0","0","3","","","","","","194862","5.96199","6.15569","1.6435","2888","11735","thing","Kill Doctor Lucky","3","8","45","45","45","1996","3,4,5,6","5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Kingdomino","204583","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","55685640","7.21245","7.33145","1.2184","253","69324","thing","Kingdomino","2","4","25","25","15","2016","2,3,4","2,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Landlord!","312","0","","0","1","1","0","0","0","0","0","0","3","","","","","","194863","5.63279","5.91675","1.505","6691","1686","thing","Landlord!","2","6","10","10","10","1992","3,4,5,6","4,5","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Lost Cities","50","0","","0","1","0","0","0","0","0","0","0","3","","","","","","194864","7.10867","7.20891","1.4848","328","60111","thing","Lost Cities","2","2","30","30","30","1999","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lost Ruins of Arnak","312484","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","78214472","7.88225","8.09407","2.8829","29","44461","thing","Lost Ruins of Arnak","1","4","120","120","30","2020","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Lovelace & Babbage","257056","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","64880696","5.79637","6.72711","2.375","4092","1796","thing","Lovelace & Babbage","2","4","30","30","15","2019","2,3,4","3","14+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Magalon","429","0","","0","1","1","0","0","0","0","0","0","3","","","","","","194865","5.53488","5.87025","1.8947","12883","537","thing","Magalon","2","4","60","60","60","1998","3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Medici","46","0","","0","1","0","0","0","0","0","0","0","3","","","","","","7668336","6.82982","7.16333","2.2525","603","8381","thing","Medici","2","6","60","60","60","1995","4,5,6","5,6","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Medici vs Strozzi","24762","0","","0","1","0","0","0","0","0","0","0","3","","","","","","7668337","5.97659","6.5048","2.4518","2806","1967","thing","Medici vs Strozzi","2","2","30","30","30","2006","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Morels","122298","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","66789899","6.68409","6.98847","1.7318","813","14892","thing","Morels","2","2","30","30","30","2012","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mü & More","152","0","","0","1","0","0","0","0","0","0","0","3","","","","","","194866","6.33209","7.15218","2.5","1486","3074","thing","Mü & More","2","8","60","60","60","1995","4,5,6","5","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mystery Rummy: Jack the Ripper","106","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","194868","6.42216","6.94873","1.7458","1281","5942","thing","Mystery Rummy: Jack the Ripper","2","4","45","45","45","1998","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Mystery Rummy: Jekyll & Hyde","1265","0","","0","1","0","0","0","0","0","0","0","3","","","","","","194867","5.96072","6.63585","1.531","2901","2422","thing","Mystery Rummy: Jekyll & Hyde","2","2","45","45","45","2001","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Nanofictionary","2895","0","","0","1","1","0","0","0","0","0","0","3","","","","","","7668403","5.53149","5.76951","1.4483","13465","699","thing","Nanofictionary","3","6","20","20","15","2002","4,5,6","4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Odin's Ravens (Second Edition)","192074","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","67504796","6.46782","7.02352","1.2135","1190","6588","thing","Odin's Ravens (Second Edition)","2","2","30","30","15","2016","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Oregon","31497","0","","0","1","0","0","0","0","0","0","0","3","","","","","","7668330","6.30628","6.75922","2.145","1556","3067","thing","Oregon","2","4","45","45","45","2007","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Password","1549","0","","0","1","0","0","0","0","0","0","0","3","","","","","","7668793","5.69554","6.13128","1.5128","5372","2412","thing","Password","3","4","30","30","30","1962","4","4","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Patchwork","163412","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","55685635","7.51185","7.61774","1.6136","107","88594","thing","Patchwork","2","2","30","30","15","2014","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Primordial Soup","124","0","","0","1","1","0","0","0","0","0","0","3","","","","","","194881","6.51483","6.93239","2.7321","1103","5505","thing","Primordial Soup","3","4","90","90","90","1997","3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Proton","1819","0","","0","1","1","0","0","0","0","0","0","3","","","","","","194871","5.4843","4.96536","2.6667","21551","163","thing","Proton","1","2","10","10","10","1998","1,2","2","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Puerto Rico","3076","0","","0","1","0","0","0","0","0","0","0","3","","","","","","7668328","7.81044","7.94328","3.2742","37","78301","thing","Puerto Rico","3","5","150","150","90","2002","2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Puerto Rico: Expansion I – New Buildings","12382","0","","0","1","0","0","0","0","0","0","0","3","","","","","","7668329","6.70255","7.55479","3.2167","0","6031","thing","Puerto Rico: Expansion I – New Buildings","2","5","90","90","90","2004","2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Q-Turn","629","0","","0","1","1","0","0","0","0","0","0","3","","","","","","194872","5.45837","5.03703","1.25","22822","263","thing","Q-Turn","2","4","20","20","20","1999","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Qwirkle","25669","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","7668334","6.62957","6.77748","1.6111","915","33896","thing","Qwirkle","2","4","45","45","45","2006","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
